p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.3031753119303331,0.836,0.617,0,1,EZR
0,0.30020597143864247,0.802,0.575,0,1,GADD45B
0,0.2995602330543275,0.298,0.112,0,1,ITM2C
0,0.29942550677152413,0.983,0.876,0,1,S100A4
0,0.2958843089271568,1,0.996,0,1,RPLP1
0,0.29381125767142385,0.414,0.195,0,1,PER1
0,0.2892007500470929,0.575,0.316,0,1,NELL2
0,0.28870798808569464,0.81,0.563,0,1,YPEL5
0,0.28802400628920977,0.419,0.221,0,1,TRADD
0,0.28306906887705713,0.382,0.196,0,1,DNAAF2
0,0.2816441566137866,0.666,0.49,0,1,CITED2
0,0.28108308108808155,0.691,0.437,0,1,PTGER4
0,0.2773219293792688,0.977,0.861,0,1,RPL36A
0,0.27556973770148974,0.679,0.477,0,1,RPL22L1
0,0.2746324794214936,0.292,0.13,0,1,TUBB2A
0,0.27428142139849565,0.726,0.52,0,1,SQSTM1
0,0.2740258941692555,0.961,0.816,0,1,LDHB
0,0.2737683899243768,0.89,0.739,0,1,GSTK1
0,0.2734453715310541,0.993,0.956,0,1,CD52
0,0.2733219046608515,0.874,0.613,0,1,BTG2
0,0.2711332586666029,0.314,0.133,0,1,DUSP10
0,0.2674272359394029,0.481,0.282,0,1,IRF2BP2
0,0.26576571883401223,0.609,0.394,0,1,ODC1
0,0.26531394189089164,0.668,0.387,0,1,TENT5C
0,0.26316555470115155,0.971,0.884,0,1,S100A6
0,0.2622806547176717,0.936,0.741,0,1,CXCR4
0,0.2605924346766412,0.393,0.199,0,1,ZC3H12A
0,0.259010639246281,0.68,0.466,0,1,FLT3LG
0,0.25820956502539527,0.863,0.636,0,1,COTL1
0,0.2561463647309261,0.949,0.789,0,1,CCL5
0,0.2561328762638262,0.294,0.123,0,1,PELI1
0,0.25467655686441737,0.582,0.345,0,1,NFKBIZ
0,0.2518819965832059,0.369,0.188,0,1,AQP3
4.0740001824676487e-228,0.25927266212363653,0.745,0.642,1.3663381811960001e-223,1,MT2A
5.362434131531604e-211,0.29907794865108395,0.51,0.387,1.7984531590330693e-206,1,AL138963.3
6.143865467154492e-101,0.38516647641250756,0.519,0.459,2.0605296003742735e-96,1,GNLY
0,0.8664884433693398,0.893,0.304,0,2,LEF1
0,0.8169855913292987,0.9,0.409,0,2,TCF7
0,0.8051756330823779,0.61,0.11,0,2,AIF1
0,0.7755363357915537,0.922,0.486,0,2,NOSIP
0,0.7750156141379798,0.687,0.273,0,2,LINC02446
0,0.7256581020287662,0.653,0.128,0,2,ACTN1
0,0.6933971727077739,0.746,0.186,0,2,CCR7
0,0.6880937317100855,0.583,0.123,0,2,MAL
0,0.6412949706618671,0.9,0.389,0,2,SELL
0,0.6345333934448258,0.592,0.189,0,2,PASK
0,0.6206058981267244,1,0.982,0,2,RPS13
0,0.6149482593806304,1,0.941,0,2,RPL22
0,0.6081594717996328,1,0.964,0,2,RPS5
0,0.5999228057107908,1,0.99,0,2,RPL32
0,0.5998366655561091,0.999,0.945,0,2,EEF1B2
0,0.5881450263767913,0.785,0.361,0,2,OXNAD1
0,0.5823281160158995,0.458,0.098,0,2,ARMH1
0,0.5715928001299376,0.713,0.311,0,2,ABLIM1
0,0.5665620022380315,0.881,0.522,0,2,RGS10
0,0.5658919641539463,0.745,0.295,0,2,NELL2
0,0.5578013004902678,1,0.991,0,2,RPS3A
0,0.5438097671118258,0.987,0.813,0,2,LDHB
0,0.5301414468287298,0.963,0.583,0,2,LTB
0,0.5295752723675307,1,0.969,0,2,RPL9
0,0.5278253431109063,0.997,0.908,0,2,RPL7
0,0.51178672289997,1,0.983,0,2,RPS6
0,0.5097985324907485,0.502,0.13,0,2,TRABD2A
0,0.5064133470525671,0.924,0.661,0,2,EIF3E
0,0.5023996887650574,0.572,0.196,0,2,RCAN3
0,0.5015769578278184,0.832,0.483,0,2,PIK3IP1
0,0.5010541212641537,1,0.972,0,2,RPL29
0,0.4975988144151814,0.815,0.483,0,2,SMDT1
0,0.4944951858411448,1,0.989,0,2,RPS23
0,0.4927787368856207,0.666,0.293,0,2,LDLRAP1
0,0.49045161505555157,1,0.996,0,2,RPS12
0,0.4888369598793858,1,0.99,0,2,RPS8
0,0.4780923249444292,0.601,0.227,0,2,SATB1
0,0.473297244825873,0.995,0.91,0,2,NPM1
0,0.46853477193276705,1,0.99,0,2,TPT1
0,0.46830314164591336,0.999,0.964,0,2,PABPC1
0,0.4681650120046479,1,0.988,0,2,RPL34
0,0.4655663999497115,0.993,0.912,0,2,RPL38
0,0.464762305927251,1,0.987,0,2,RPS4X
0,0.4635552388490485,1,0.988,0,2,RPS28
0,0.4615161782495001,1,0.973,0,2,RPL5
0,0.46131119036612045,1,0.996,0,2,RPL13
0,0.45852209692415125,1,0.979,0,2,RPL37
0,0.4561108189026597,1,0.992,0,2,RPL11
0,0.4547149607976091,1,0.973,0,2,RPL35A
0,0.45273016109432573,0.924,0.657,0,2,LEPROTL1
0,0.44577549577018916,0.998,0.947,0,2,RPL4
0,0.44205807662268715,1,0.964,0,2,RPL10A
0,0.4408340085851732,1,0.983,0,2,RPL18
0,0.43935953645794834,1,0.977,0,2,RPS21
0,0.4365538131247444,1,0.989,0,2,RPS18
0,0.4309229646536563,1,0.981,0,2,RPS25
0,0.4306370097446535,0.355,0.075,0,2,NT5E
0,0.4257807157672815,1,0.991,0,2,RPS2
0,0.4251871039319344,1,0.996,0,2,RPLP1
0,0.42375322564738127,1,0.983,0,2,RPL39
0,0.423591405207441,0.844,0.559,0,2,SNHG8
0,0.4184453889631756,1,0.99,0,2,RPS14
0,0.4183890060447384,0.8,0.492,0,2,NDFIP1
0,0.41636279337489235,1,0.991,0,2,RPL19
0,0.41539941626883836,1,0.964,0,2,RPL36
0,0.4146151558495643,1,0.967,0,2,RPS16
0,0.41269977284179404,0.997,0.907,0,2,RPL31
0,0.41243234702780135,0.306,0.042,0,2,CLEC11A
0,0.4093233683993005,0.997,0.929,0,2,JUNB
0,0.40672550747339953,0.584,0.25,0,2,CD55
0,0.40621992508414895,1,0.993,0,2,RPL30
0,0.400361968360464,0.784,0.462,0,2,FOXP1
0,0.3936663044222476,0.382,0.095,0,2,SPINT2
0,0.3886331818517865,1,0.975,0,2,RPL12
0,0.3854920085666862,1,0.973,0,2,RACK1
0,0.3839944865888011,0.765,0.447,0,2,TMEM123
0,0.3827458946578992,1,0.967,0,2,RPL21
0,0.3801463849828929,0.304,0.067,0,2,LRRN3
0,0.38007442755152976,0.922,0.702,0,2,EIF3H
0,0.3792354041997831,0.782,0.498,0,2,EIF2S3
0,0.3785462608343497,1,0.962,0,2,NACA
0,0.3737063507504659,0.983,0.861,0,2,RPL36A
0,0.3723340790302052,0.671,0.378,0,2,HSPB1
0,0.3722894103080705,1,0.986,0,2,RPL18A
0,0.37129078105748814,1,0.998,0,2,RPL10
0,0.36842616022881125,0.823,0.55,0,2,ST13
0,0.3677695324155893,0.374,0.098,0,2,BACH2
0,0.36615924934014576,0.748,0.458,0,2,FLT3LG
0,0.3587794372604476,0.326,0.072,0,2,TMIGD2
0,0.3586820958269503,0.289,0.058,0,2,CD248
0,0.3576124987699969,1,0.982,0,2,RPL8
0,0.3565371957729724,0.896,0.67,0,2,ZFAS1
0,0.3558672630429438,1,0.994,0,2,RPL28
0,0.3534147154369536,1,0.984,0,2,RPLP2
0,0.3520780518991986,0.643,0.362,0,2,ALKBH7
0,0.3485329041350713,1,0.953,0,2,RPL24
0,0.34737594506927183,0.518,0.25,0,2,C6orf48
0,0.34291595754023024,0.295,0.065,0,2,EPHX2
0,0.34262010509489293,1,1,0,2,EEF1A1
0,0.3425391584739579,0.732,0.461,0,2,RSL1D1
0,0.34062318513280876,0.776,0.55,0,2,HIST1H4C
0,0.3395744124199558,0.726,0.465,0,2,FBL
0,0.3392754005704979,0.998,0.977,0,2,MT-ND4
0,0.33825364230444865,1,0.991,0,2,RPS15A
0,0.33671507984971427,0.878,0.65,0,2,ANP32B
0,0.3365478278917675,0.995,0.926,0,2,RPL27
0,0.336118811634746,1,0.975,0,2,RPSA
0,0.3347542876494596,0.996,0.957,0,2,SARAF
0,0.3345046162834784,1,0.993,0,2,RPS27A
0,0.3272097444557134,1,0.98,0,2,RPS24
0,0.32625223005999326,0.97,0.822,0,2,UQCRB
0,0.32465766085487946,0.985,0.871,0,2,COX7C
0,0.3236934130598,0.387,0.123,0,2,SERINC5
0,0.32125246613931946,0.998,0.967,0,2,RPS9
0,0.32046754968665425,1,0.988,0,2,RPS15
0,0.3193658318648138,0.742,0.451,0,2,NUCB2
0,0.3178929103466843,0.711,0.401,0,2,CAMK4
0,0.3155908918524868,0.286,0.071,0,2,BEX3
0,0.3155798514752326,0.942,0.79,0,2,RPS20
0,0.3154314759678951,0.999,0.956,0,2,RPL37A
0,0.3145686609327851,0.354,0.124,0,2,A1BG
0,0.31049217684932845,0.473,0.224,0,2,IMPDH2
0,0.30804274726234504,0.934,0.76,0,2,RPL23
0,0.30680072134401026,1,0.985,0,2,RPL14
0,0.306739758329074,0.338,0.103,0,2,TXK
0,0.3050501074548335,0.997,0.923,0,2,BTF3
0,0.30473236088231115,0.999,0.973,0,2,RPL15
0,0.2943796109851624,0.832,0.608,0,2,UXT
0,0.29196854337280254,1,0.99,0,2,RPL3
0,0.2917338963953724,0.945,0.754,0,2,CD7
0,0.2892070079520699,1,0.984,0,2,RPLP0
0,0.28849977007557914,0.996,0.968,0,2,EEF2
0,0.2865592564726867,0.368,0.154,0,2,CARS
0,0.28613739933044957,0.351,0.142,0,2,SH3YL1
0,0.28528988126156984,0.96,0.809,0,2,C12orf57
0,0.2848596710828595,1,0.992,0,2,MT-ND3
0,0.2829855998091997,0.986,0.883,0,2,RPS11
0,0.27990781103696394,0.997,0.962,0,2,MT-ND2
0,0.27972622004575487,0.373,0.152,0,2,TESPA1
0,0.278963013502062,0.352,0.138,0,2,C1orf162
0,0.27861935587636655,0.889,0.709,0,2,EIF3L
0,0.274481141221969,1,0.95,0,2,RPL26
0,0.26557827321984884,0.756,0.533,0,2,NSA2
0,0.26503475074100935,1,0.991,0,2,RPS26
0,0.2641791857672627,0.454,0.235,0,2,PABPC4
0,0.25306564242888907,1,0.994,0,2,RPS3
